"Abgangsjahr";"insgesamt";"Hauptschulabschluss nach Jahrgang 9";"Hauptschulabschluss nach Jahrgang 10";"Fachoberschulreife";"ohne Abschluss"
"1990";1031;19;20;990;2
"1991";950;30;30;881;9
"1992";1005;29;20;941;15
"1993";1061;36;17;994;14
"1994";1020;14;9;983;14
"1995";997;15;15;957;10
"1996";1145;30;10;1090;15
"1997";1204;27;72;1088;17
"1998";1173;28;29;1106;10
"1999";1270;29;28;1201;12
"2000";1282;38;34;1193;17
"2001";1202;25;22;1121;34
"2002";1213;45;41;1116;11
"2003";1329;36;45;1228;20
"2004";1311;39;30;1218;24
"2005";1320;24;15;1247;34
"2006";1423;29;35;1326;33
"2007";1430;29;33;1351;17
"2008";1491;23;15;1408;45
"2009";1440;23;32;1364;21
"2010";1334;32;18;1269;15
"2011";1330;32;33;1245;20
"2012";1315;16;47;1229;23
"2013";1357;17;43;1276;21
"2014";1388;14;43;1302;29
"2015";1296;12;27;1238;19
"2016";1212;28;34;1143;7
"2017";1355;23;37;1257;38
"2018";1141;25;37;1045;34
