"Jahr";"Lohnsteuer";"Einkommensteuer";"Kfz-Steuer";"K?rperschaftssteuer";"Umsatzsteuer"
"1990";1155590;126383;32124;218082;32250
"1991";1526882;188957;39938;173970;32375
"1992";1417363;178310;45728;227034;34311
"1993";1481299;128178;46899;211013;31189
"1994";1417085;100183;47107;169123;26152
"1995";1433464;63690;45624;247979;39538
"1996";890256;38291;44749;98312;41569
"1997";1452050;55453;46269;149568;5039
"1998";1392421;60140;48888;151408;2532
"1999";1481309;59910;43976;226158;6994
"2000";1457687;100671;42737;74406;1267
"2001";1388561;62043;51066;75389;1752
"2002";1347768;34605;45684;58253;864
"2003";1319605;5792;43812;66547;1187
"2004";1262590;6582;45755;207421;330
"2005";1251323;23176;50390;169239;481
"2006";1275971;80348;51481;208259;558
"2007";1343239;151771;52569;163860;3
"2008";1439812;221833;50611;175098;14
"2009";1428453;184991;46657;90018;341
"2010";1374979;234005;47902;83782;0
"2011";1476038;227725;47372;98282;506
"2012";1545063;251268;46634;201677;0
"2013";1641851;270324;46900;163805;0
"2014";1709928;300815;6120;182086;0
"2015";1796791;317045;0;95347;0
"2016";1861985;385507;0;184572;0
"2017";1940364;390658;0;284814;0
"2018";2055450;419729;0;259839;0
