"Jahr";"insgesamt";"schwere Diebstähle";"einfache Diebstähle";"gefährliche und schwere Körperverletzungen";"leichte und vorsätzliche Körperverletzungen";"Raub und räuberische Erpressung";"Sittlichkeitsdelikte";"Tötungsdelikte";"Unterschlagungen";"sonstige Delikte"
"1990";63141;24926;14231;963;1102;772;530;37;646;19934
"1991";63159;23886;15498;989;1256;924;577;41;724;19264
"1992";62854;23432;15894;1045;1217;904;489;42;509;19322
"1993";63419;23844;15827;1044;1176;874;721;41;454;19438
"1994";64971;24132;16681;825;1297;854;628;27;445;20082
"1995";73647;24178;18935;1009;1362;1055;639;39;635;25795
"1996";68679;20196;17372;1088;1525;947;620;43;605;26283
"1997";70412;20589;18250;1033;1658;1072;747;34;647;26382
"1998";64884;17461;17658;1162;1825;913;670;34;706;24455
"1999";63411;17227;15163;1412;1737;869;827;25;653;25498
"2000";64147;16212;15163;1432;1898;768;587;43;835;27209
"2001";67038;15852;16136;1542;2167;735;528;35;775;29268
"2002";74304;18447;19518;1646;2369;802;477;34;810;30201
"2003";74636;18784;18981;1910;3393;962;421;38;843;29304
"2004";82451;21158;19219;2301;3930;909;456;23;953;33502
"2005";78915;18969;17580;2175;4058;797;426;39;1011;33860
"2006";77840;18049;17925;2171;4378;871;379;33;1057;32977
"2007";78672;17758;16504;2282;4338;827;441;26;1022;35474
"2008";79159;18313;16745;2368;4287;864;459;16;1037;35070
"2009";77644;16123;17638;2236;4069;864;385;16;1219;35094
"2010";80123;17912;20259;2201;4060;1213;352;24;1257;32845
"2011";87608;21011;20994;2424;4305;1018;554;25;1349;35928
"2012";88215;19595;19528;2227;4540;932;648;30;1483;39232
"2013";88240;18191;21983;2108;4431;1293;618;25;1604;37987
"2014";93855;20580;24947;2225;4303;1184;573;15;1668;38360
"2015";90491;23152;20844;2254;4063;1108;429;22;1633;36986
"2016";83067;20405;16873;2251;4672;922;543;30;1762;35609
"2017";73280;11761;17361;2163;4780;781;688;20;1597;34129
"2018";71818;11637;16550;2044;4617;718;858;12;1670;33712
