"Jahr";"insgesamt";"insgesamt innerorts";"insgesamt au?erorts";"mit schwerwiegenden Sachschaden zusammen";"mit schwerwiegenden Sachschaden innerorts";"mit schwerwiegenden Sachschaden au?erorts";"mit Personenschaden zusammen";"mit Personenschaden innerorts";"mit Personenschaden au?erorts"
"1990";5267;4283;984;2010;1523;487;3257;2760;497
"1991";4347;3507;840;1299;922;377;3048;2585;463
"1992";4604;3706;898;1381;984;397;3223;2722;501
"1993";4577;3694;883;1423;1040;383;3154;2654;500
"1994";4582;3658;924;1469;1048;421;3113;2610;503
"1995";3759;3036;723;1083;795;288;2676;2241;435
"1996";3505;2847;658;892;639;253;2613;2208;405
"1997";3265;2689;576;774;583;191;2491;2106;385
"1998";3385;2781;604;891;662;229;2494;2119;375
"1999";3434;2795;639;864;625;239;2570;2170;400
"2000";3384;2781;603;914;693;221;2470;2088;382
"2001";3330;2639;691;957;682;275;2373;1957;416
"2002";3175;2602;573;999;745;254;2176;1857;319
"2003";3257;2684;573;893;683;210;2364;2001;363
"2004";3216;2758;458;958;764;194;2258;1994;264
"2005";3157;2691;466;924;744;180;2233;1947;286
"2006";2966;2527;439;889;701;188;2077;1826;251
"2007";3201;2756;445;905;721;184;2296;2035;261
"2008";3073;2654;419;880;696;184;2193;1958;235
"2009";2923;2475;448;844;637;207;2079;1838;241
"2010";2552;2169;383;761;574;187;1791;1595;196
"2011";2733;2399;334;739;608;131;1994;1791;203
"2012";2601;2270;331;714;595;119;1887;1675;212
"2013";2414;2079;335;685;570;115;1729;1509;220
"2014";2261;2004;257;529;465;64;1732;1539;193
"2015";2239;1938;301;452;366;86;1787;1572;215
"2016";2455;2146;309;482;390;92;1973;1756;217
"2017";2343;2053;290;436;367;69;1907;1686;221
"2018";2382;2053;329;369;306;63;2013;1747;266
