"Semester";"insgesamt";"Architektur- und Bauingenieurwesen";"Chemische und hemische Biologie";"Bio- und Chemieingenieurwesen";"Elektrotechnik und Informationstechnik";"Erziehungswissenschaften und Soziologie";"Humanwissenschaften und Theologie";"Informatik";"Maschinenbau";"Mathematik";"Kunst- und Sportwissenschaften";"Physik";"Raumplanung";"Rehabilitationswissenschaften";"Kulturwissenschaften";"Statistik";"Wirtschafts- und Sozialwissenschaften"
"1990/91";21777;1295;924;1374;1472;1755;317;2414;1483;1154;1082;762;1136;1478;1666;618;2847
"1991/92";22316;1406;959;1348;1424;1861;381;2426;1375;1255;1131;793;1144;1640;1772;592;2809
"1992/93";23326;1411;965;1357;1399;2000;519;2461;1329;1382;1209;852;1155;1980;1915;567;2825
"1993/94";24388;1432;937;1277;1358;2279;673;2544;1235;1462;1288;849;1198;2375;2066;566;2849
"1994/95";25037;1653;879;1134;1270;2578;780;2551;1131;1470;1355;820;1176;2823;2087;518;2812
"1995/96";25389;1776;850;978;1163;3182;896;2536;997;1444;1418;787;1180;2821;2083;516;2762
"1996/97";25011;1801;762;843;995;3141;1002;2494;903;1507;1478;755;1168;2688;2168;513;2793
"1997/98";24775;1850;742;728;924;3122;1163;2526;832;1537;1593;683;1187;2550;2239;499;2600
"1998/99";24576;1776;721;617;849;3267;1380;2681;764;1501;1590;636;1210;2382;2291;497;2414
"1999/00";24648;1653;753;552;870;3293;1551;3012;789;1441;1577;583;1223;2134;2230;459;2528
"2000/01";24613;1534;650;510;931;3157;1513;3507;863;1392;1490;530;1223;1956;2207;451;2699
"2001/02";24999;1413;629;491;1012;2930;1488;3675;1056;1364;1470;535;1162;1945;2383;423;3023
"2002/03";24839;1326;609;674;1081;2573;1337;3523;1490;1408;1445;533;1163;1940;2475;471;2791
"2003/04";25560;1294;720;923;1147;2261;1214;3451;1994;1539;1473;582;1156;1991;2663;555;2597
"2004/05";21643;1057;773;915;1041;1575;799;2809;1992;1348;1132;467;1090;1815;2422;442;1966
"2005/06";22363;1120;899;962;984;1554;1040;2512;2150;1517;1197;515;1132;1979;2553;466;1783
"2006/07";21827;1095;1031;1051;925;1338;1186;2248;2295;1552;1130;573;1140;1808;2356;522;1577
"2007/08";21540;1145;1063;1077;818;1261;1470;2076;2446;1589;1082;583;1084;1595;2304;494;1453
"2008/09";22012;1145;1077;1122;825;1895;1395;1888;2680;1437;1093;574;1096;1489;2400;478;1418
"2009/10";24126;1260;1077;1178;880;2939;1378;1805;2869;1461;1178;631;1176;1539;2594;488;1673
"2010/11";24873;1331;1069;1180;941;2826;1257;1710;2950;1416;1257;725;1260;1673;2848;487;1943
"2011/12";27010;1456;1068;1337;1216;3674;730;1863;3211;1440;1236;1049;1303;1815;2821;641;2150
"2012/13";29672;1513;1148;1500;1261;4366;506;2295;3722;1605;1243;1197;1326;1900;2807;782;2501
"2013/14";31583;1571;1214;1628;1245;4272;445;3107;4261;1736;1192;1361;1422;1740;2673;1063;2653
"2014/15";32801;1795;1226;1636;1296;4451;399;3635;4606;1647;1158;1421;1439;1711;2512;1148;2721
"2015/16";33554;1775;1211;1651;1340;4534;393;4194;4593;1674;1100;1503;1431;1710;2388;1184;2873
"2016/17";34235;1803;1183;1668;1385;4858;373;4674;4646;1573;989;1540;1477;1572;2360;1260;2874
"2017/18";34616;1857;1122;1619;1377;5224;361;5091;4582;1411;936;1496;1481;1529;2357;1174;2999
"2018/19";34491;1842;1149;1529;1367;5345;332;5511;4506;1309;963;1335;1467;1428;2365;1162;2881
