"Jahr";"Höchste Lufttemperatur";"Tiefste Lufttemperatur";"Mittlere Lufttemperatur";"Mittlere relative Luftfeuchtigkeit";"Tage mit Niederschl�gen";"Gesamtniederschlagsmenge";"Ozonwert (Jahresmittelwert)"
"1990";35;-5;13;78;197;986;0
"1991";34;-14;10;79;176;742;0
"1992";33;-9;11;80;191;919;0
"1993";29;-13;10;81;191;957;0
"1994";35;-11;11;82;195;959;0
"1995";35;-11;10;79;195;878;0
"1996";33;-13;8;77;178;747;70
"1997";33;-17;10;78;182;766;31
"1998";33;-9;10;77;232;1113;31
"1999";31;-11;12;77;132;654;32
"2000";36;-9;12;79;0;590;36
"2001";35;-9;11;81;199;690;37
"2002";37;-9;11;81;183;879;32
"2003";37;-13;11;77;145;744;44
"2004";33;-9;11;79;185;774;34
"2005";33;-11;11;80;177;727;34
"2006";37;-12;11;76;171;669;40
"2007";35;-8;11;81;182;873;36
"2008";34;-9;11;80;173;643;37
"2009";36;-18;11;77;175;618;37
"2010";36;-14;9;78;170;574;33
"2011";34;-7;11;76;162;587;35
"2012";36;-15;11;76;176;608;37
"2013";36;-11;10;79;174;491;38
"2014";35;-5;12;80;196;777;36
"2015";38;-6;11;76;206;800;42
"2016";36;-9;11;76;179;637;38
"2017";35;-9;11;79;195;752;40
"2018";37;-11;12;74;146;530;47
