"Jahr";"Zugang Arbeitslose";"davon nach vorheriger Erwerbst�tigkeit";"davon nach vorheriger betrieblilcher Ausbildung";"davon ohne vorherige Erwerbst�tigkeit";"Abgang Arbeitslose";"Abgang Arbeitslose in Erwerbst�tigkeit"
"1990";39970;19439;1423;19108;43687;0
"1991";39884;18760;1521;19603;41431;0
"1992";41768;20424;1337;20007;38708;0
"1993";47345;0;0;0;41520;0
"1994";46519;23770;1237;21512;44913;0
"1995";44340;21513;1204;21623;44183;0
"1996";48292;21385;1379;25528;47067;0
"1997";48078;20064;1442;26572;46064;0
"1998";48006;21008;1823;25175;50022;0
"1999";46948;20886;1855;24207;47557;0
"2000";45340;20407;1655;23278;47278;0
"2001";45745;21866;1420;22459;44994;0
"2002";48063;22985;1172;23906;47601;17370
"2003";50942;26103;1535;23304;48347;17518
"2004";56436;24478;7085;24861;53913;17041
"2005";52851;21979;7046;23826;48054;18635
"2006";57420;21782;10392;22938;62934;21583
"2007";69795;21897;16070;31828;73492;22179
"2008";70326;24648;16238;29440;73814;23752
"2009";80423;28232;21960;30231;79919;22912
"2010";82757;26700;23749;32308;82671;24878
"2011";77182;26396;19156;31630;77984;24846
"2012";73673;25136;16477;32060;72417;21327
"2013";77507;24787;17756;34964;77346;20912
"2014";78752;24658;18746;35348;79127;21623
"2015";77455;23685;19341;34429;78630;21557
"2016";86511;23766;24995;37750;88487;21657
"2017";85951;23252;25989;36710;88274;22181
"2018";80735;23070;24605;33060;81707;20789
"2019";79795;23927;24411;31457;79267;20384
"2020";64179;23333;18361;22485;59552;18369
